"Statistic Label","Quarter","Size of Employees per Enterprise","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Hourly Earnings","2021Q3","Greater than 250","Administrative and support service activities (N)","Euro","18.52"
"Average Hourly Earnings","2021Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","27.73"
"Average Hourly Earnings","2021Q3","Greater than 250","Education (P)","Euro","43.1"
"Average Hourly Earnings","2021Q3","Greater than 250","Human health and social work activities (Q)","Euro","27.03"
"Average Hourly Earnings","2021Q3","Greater than 250","Industry (B to E)","Euro","27.62"
"Average Hourly Earnings","2021Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","33.93"
"Average Hourly Earnings","2021Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.04"
"Average Hourly Earnings","2021Q4","Under 50","All NACE economic sectors","Euro","22.21"
"Average Hourly Earnings","2021Q4","Under 50","Construction (F)","Euro","21.66"
"Average Hourly Earnings","2021Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","21.62"
"Average Hourly Earnings","2021Q4","Under 50","Transportation and storage (H)","Euro","21.31"
"Average Hourly Earnings","2021Q4","Under 50","Accommodation and food service activities (I)","Euro","14.18"
"Average Hourly Earnings","2021Q4","Under 50","Information and communication (J)","Euro","32.27"
"Average Hourly Earnings","2021Q4","Under 50","Professional, scientific and technical activities (M)","Euro","29.07"
"Average Hourly Earnings","2021Q4","Under 50","Administrative and support service activities (N)","Euro","25.11"
"Average Hourly Earnings","2021Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","25.05"
"Average Hourly Earnings","2021Q4","Under 50","Education (P)","Euro","19.07"
"Average Hourly Earnings","2021Q4","Under 50","Human health and social work activities (Q)","Euro","19.59"
"Average Hourly Earnings","2021Q4","Under 50","Industry (B to E)","Euro","21.66"
"Average Hourly Earnings","2021Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","36.13"
"Average Hourly Earnings","2021Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.2"
"Average Hourly Earnings","2021Q4","50 - 250","All NACE economic sectors","Euro","24.4"
"Average Hourly Earnings","2021Q4","50 - 250","Construction (F)","Euro","25.65"
"Average Hourly Earnings","2021Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","21.93"
"Average Hourly Earnings","2021Q4","50 - 250","Transportation and storage (H)","Euro","21.04"
"Average Hourly Earnings","2021Q4","50 - 250","Accommodation and food service activities (I)","Euro","15.87"
"Average Hourly Earnings","2021Q4","50 - 250","Information and communication (J)","Euro","34.97"
"Average Hourly Earnings","2021Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","31.1"
"Average Hourly Earnings","2021Q4","50 - 250","Administrative and support service activities (N)","Euro","24.73"
"Average Hourly Earnings","2021Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","33.63"
"Average Hourly Earnings","2021Q4","50 - 250","Education (P)","Euro","28.95"
"Average Hourly Earnings","2021Q4","50 - 250","Human health and social work activities (Q)","Euro","18.65"
"Average Hourly Earnings","2021Q4","50 - 250","Industry (B to E)","Euro","22.54"
"Average Hourly Earnings","2021Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","36.22"
"Average Hourly Earnings","2021Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","25.22"
"Average Hourly Earnings","2021Q4","Greater than 250","All NACE economic sectors","Euro","29.3"
"Average Hourly Earnings","2021Q4","Greater than 250","Construction (F)","Euro","29.69"
"Average Hourly Earnings","2021Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","20.18"
"Average Hourly Earnings","2021Q4","Greater than 250","Transportation and storage (H)","Euro","23.99"
"Average Hourly Earnings","2021Q4","Greater than 250","Accommodation and food service activities (I)","Euro","15.51"
"Average Hourly Earnings","2021Q4","Greater than 250","Information and communication (J)","Euro","40.35"
"Average Hourly Earnings","2021Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","32.56"
"Average Hourly Earnings","2021Q4","Greater than 250","Administrative and support service activities (N)","Euro","18.24"
"Average Hourly Earnings","2021Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","27.96"
"Average Hourly Earnings","2021Q4","Greater than 250","Education (P)","Euro","42.66"
"Average Hourly Earnings","2021Q4","Greater than 250","Human health and social work activities (Q)","Euro","27.17"
"Average Hourly Earnings","2021Q4","Greater than 250","Industry (B to E)","Euro","28.35"
"Average Hourly Earnings","2021Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","34.58"
"Average Hourly Earnings","2021Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.85"
"Average Hourly Earnings","2022Q1","Under 50","All NACE economic sectors","Euro","22.45"
"Average Hourly Earnings","2022Q1","Under 50","Construction (F)","Euro","21.99"
"Average Hourly Earnings","2022Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","21.46"
"Average Hourly Earnings","2022Q1","Under 50","Transportation and storage (H)","Euro","23.42"
"Average Hourly Earnings","2022Q1","Under 50","Accommodation and food service activities (I)","Euro","14.98"
"Average Hourly Earnings","2022Q1","Under 50","Information and communication (J)","Euro","32.89"
"Average Hourly Earnings","2022Q1","Under 50","Professional, scientific and technical activities (M)","Euro","28.23"
"Average Hourly Earnings","2022Q1","Under 50","Administrative and support service activities (N)","Euro","29.32"
"Average Hourly Earnings","2022Q1","Under 50","Public administration and defence; compulsory social security (O)","Euro","27.19"
"Average Hourly Earnings","2022Q1","Under 50","Education (P)","Euro","20.61"
"Average Hourly Earnings","2022Q1","Under 50","Human health and social work activities (Q)","Euro","20.05"
"Average Hourly Earnings","2022Q1","Under 50","Industry (B to E)","Euro","20.96"
"Average Hourly Earnings","2022Q1","Under 50","Financial, insurance and real estate activities (K,L)","Euro","34.03"
"Average Hourly Earnings","2022Q1","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.29"
"Average Hourly Earnings","2022Q1","50 - 250","All NACE economic sectors","Euro","25.65"
"Average Hourly Earnings","2022Q1","50 - 250","Construction (F)","Euro","26.05"
"Average Hourly Earnings","2022Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23.64"
"Average Hourly Earnings","2022Q1","50 - 250","Transportation and storage (H)","Euro","21.06"
"Average Hourly Earnings","2022Q1","50 - 250","Accommodation and food service activities (I)","Euro","15.55"
"Average Hourly Earnings","2022Q1","50 - 250","Information and communication (J)","Euro","38.89"
"Average Hourly Earnings","2022Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","32.53"
"Average Hourly Earnings","2022Q1","50 - 250","Administrative and support service activities (N)","Euro","27.66"
"Average Hourly Earnings","2022Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","33.54"
"Average Hourly Earnings","2022Q1","50 - 250","Education (P)","Euro","28.17"
"Average Hourly Earnings","2022Q1","50 - 250","Human health and social work activities (Q)","Euro","18.41"
"Average Hourly Earnings","2022Q1","50 - 250","Industry (B to E)","Euro","23.06"
"Average Hourly Earnings","2022Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","41.57"
"Average Hourly Earnings","2022Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","25.56"
"Average Hourly Earnings","2022Q1","Greater than 250","All NACE economic sectors","Euro","30.61"
"Average Hourly Earnings","2022Q1","Greater than 250","Construction (F)","Euro","26.65"
"Average Hourly Earnings","2022Q1","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","20.88"
"Average Hourly Earnings","2022Q1","Greater than 250","Transportation and storage (H)","Euro","23.95"
"Average Hourly Earnings","2022Q1","Greater than 250","Accommodation and food service activities (I)","Euro","15.01"
"Average Hourly Earnings","2022Q1","Greater than 250","Information and communication (J)","Euro","44.95"
"Average Hourly Earnings","2022Q1","Greater than 250","Professional, scientific and technical activities (M)","Euro","34.55"
"Average Hourly Earnings","2022Q1","Greater than 250","Administrative and support service activities (N)","Euro","19.99"
"Average Hourly Earnings","2022Q1","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","28.29"
"Average Hourly Earnings","2022Q1","Greater than 250","Education (P)","Euro","42.68"
"Average Hourly Earnings","2022Q1","Greater than 250","Human health and social work activities (Q)","Euro","26.82"
"Average Hourly Earnings","2022Q1","Greater than 250","Industry (B to E)","Euro","31.58"
"Average Hourly Earnings","2022Q1","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","41.01"
"Average Hourly Earnings","2022Q1","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","26.14"
"Average Hourly Earnings","2022Q2","Under 50","All NACE economic sectors","Euro","22.4"
"Average Hourly Earnings","2022Q2","Under 50","Construction (F)","Euro","22.42"
"Average Hourly Earnings","2022Q2","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","22.22"
"Average Hourly Earnings","2022Q2","Under 50","Transportation and storage (H)","Euro","20.57"
"Average Hourly Earnings","2022Q2","Under 50","Accommodation and food service activities (I)","Euro","14.96"
"Average Hourly Earnings","2022Q2","Under 50","Information and communication (J)","Euro","32.85"
"Average Hourly Earnings","2022Q2","Under 50","Professional, scientific and technical activities (M)","Euro","28.2"
"Average Hourly Earnings","2022Q2","Under 50","Administrative and support service activities (N)","Euro","25.03"
"Average Hourly Earnings","2022Q2","Under 50","Public administration and defence; compulsory social security (O)","Euro","27.26"
"Average Hourly Earnings","2022Q2","Under 50","Education (P)","Euro","20.18"
"Average Hourly Earnings","2022Q2","Under 50","Human health and social work activities (Q)","Euro","20.78"
"Average Hourly Earnings","2022Q2","Under 50","Industry (B to E)","Euro","21.21"
"Average Hourly Earnings","2022Q2","Under 50","Financial, insurance and real estate activities (K,L)","Euro","35.21"
"Average Hourly Earnings","2022Q2","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.73"
"Average Hourly Earnings","2022Q2","50 - 250","All NACE economic sectors","Euro","24.77"
"Average Hourly Earnings","2022Q2","50 - 250","Construction (F)","Euro","26.47"
"Average Hourly Earnings","2022Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23.02"
"Average Hourly Earnings","2022Q2","50 - 250","Transportation and storage (H)","Euro","22.73"
"Average Hourly Earnings","2022Q2","50 - 250","Accommodation and food service activities (I)","Euro","15.35"
"Average Hourly Earnings","2022Q2","50 - 250","Information and communication (J)","Euro","36.63"
"Average Hourly Earnings","2022Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","33.18"
"Average Hourly Earnings","2022Q2","50 - 250","Administrative and support service activities (N)","Euro","26.18"
"Average Hourly Earnings","2022Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","33.95"
"Average Hourly Earnings","2022Q2","50 - 250","Education (P)","Euro","27.98"
"Average Hourly Earnings","2022Q2","50 - 250","Human health and social work activities (Q)","Euro","18.63"
"Average Hourly Earnings","2022Q2","50 - 250","Industry (B to E)","Euro","22.29"
"Average Hourly Earnings","2022Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","35.73"
"Average Hourly Earnings","2022Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","24.4"
"Average Hourly Earnings","2022Q2","Greater than 250","All NACE economic sectors","Euro","29.74"
"Average Hourly Earnings","2022Q2","Greater than 250","Construction (F)","Euro","29.56"
"Average Hourly Earnings","2022Q2","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","20.15"
"Average Hourly Earnings","2022Q2","Greater than 250","Transportation and storage (H)","Euro","25.47"
"Average Hourly Earnings","2022Q2","Greater than 250","Accommodation and food service activities (I)","Euro","14.96"
"Average Hourly Earnings","2022Q2","Greater than 250","Information and communication (J)","Euro","41.8"
"Average Hourly Earnings","2022Q2","Greater than 250","Professional, scientific and technical activities (M)","Euro","33.48"
"Average Hourly Earnings","2022Q2","Greater than 250","Administrative and support service activities (N)","Euro","18.6"
"Average Hourly Earnings","2022Q2","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","28.73"
"Average Hourly Earnings","2022Q2","Greater than 250","Education (P)","Euro","43.21"
"Average Hourly Earnings","2022Q2","Greater than 250","Human health and social work activities (Q)","Euro","27.56"
"Average Hourly Earnings","2022Q2","Greater than 250","Industry (B to E)","Euro","29.26"
"Average Hourly Earnings","2022Q2","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","35.72"
"Average Hourly Earnings","2022Q2","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.89"
"Average Hourly Earnings","2022Q3","Under 50","All NACE economic sectors","Euro","21.8"
"Average Hourly Earnings","2022Q3","Under 50","Construction (F)","Euro","21.93"
"Average Hourly Earnings","2022Q3","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","20.55"
"Average Hourly Earnings","2022Q3","Under 50","Transportation and storage (H)","Euro","21.3"
"Average Hourly Earnings","2022Q3","Under 50","Accommodation and food service activities (I)","Euro","14.7"
"Average Hourly Earnings","2022Q3","Under 50","Information and communication (J)","Euro","32.68"
"Average Hourly Earnings","2022Q3","Under 50","Professional, scientific and technical activities (M)","Euro","26.55"
"Average Hourly Earnings","2022Q3","Under 50","Administrative and support service activities (N)","Euro","24.44"
"Average Hourly Earnings","2022Q3","Under 50","Public administration and defence; compulsory social security (O)","Euro","27.8"
"Average Hourly Earnings","2022Q3","Under 50","Education (P)","Euro","21.05"
"Average Hourly Earnings","2022Q3","Under 50","Human health and social work activities (Q)","Euro","21.44"
"Average Hourly Earnings","2022Q3","Under 50","Industry (B to E)","Euro","21.8"
"Average Hourly Earnings","2022Q3","Under 50","Financial, insurance and real estate activities (K,L)","Euro","33.64"
"Average Hourly Earnings","2022Q3","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.84"
"Average Hourly Earnings","2022Q3","50 - 250","All NACE economic sectors","Euro","23.96"
"Average Hourly Earnings","2022Q3","50 - 250","Construction (F)","Euro","26.43"
"Average Hourly Earnings","2022Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","21.96"
"Average Hourly Earnings","2022Q3","50 - 250","Transportation and storage (H)","Euro","21.65"
"Average Hourly Earnings","2022Q3","50 - 250","Accommodation and food service activities (I)","Euro","15.34"
"Average Hourly Earnings","2022Q3","50 - 250","Information and communication (J)","Euro","35.33"
"Average Hourly Earnings","2022Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","30.63"
"Average Hourly Earnings","2022Q3","50 - 250","Administrative and support service activities (N)","Euro","23.55"
"Average Hourly Earnings","2022Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","33.84"
"Average Hourly Earnings","2022Q3","50 - 250","Education (P)","Euro","28.55"
"Average Hourly Earnings","2022Q3","50 - 250","Human health and social work activities (Q)","Euro","18.71"
"Average Hourly Earnings","2022Q3","50 - 250","Industry (B to E)","Euro","22.17"
"Average Hourly Earnings","2022Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","33.79"
"Average Hourly Earnings","2022Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","23.68"
"Average Hourly Earnings","2022Q3","Greater than 250","All NACE economic sectors","Euro","29.56"
"Average Hourly Earnings","2022Q3","Greater than 250","Construction (F)","Euro","30.48"
"Average Hourly Earnings","2022Q3","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19.6"
"Average Hourly Earnings","2022Q3","Greater than 250","Transportation and storage (H)","Euro","24.47"
"Average Hourly Earnings","2022Q3","Greater than 250","Accommodation and food service activities (I)","Euro","14.91"
"Average Hourly Earnings","2022Q3","Greater than 250","Information and communication (J)","Euro","45.01"
"Average Hourly Earnings","2022Q3","Greater than 250","Professional, scientific and technical activities (M)","Euro","34"
"Average Hourly Earnings","2022Q3","Greater than 250","Administrative and support service activities (N)","Euro","19.5"
"Average Hourly Earnings","2022Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","27.99"
"Average Hourly Earnings","2022Q3","Greater than 250","Education (P)","Euro","44.19"
"Average Hourly Earnings","2022Q3","Greater than 250","Human health and social work activities (Q)","Euro","27.54"
"Average Hourly Earnings","2022Q3","Greater than 250","Industry (B to E)","Euro","28.24"
"Average Hourly Earnings","2022Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","35.07"
"Average Hourly Earnings","2022Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.63"
"Average Hourly Earnings","2022Q4","Under 50","All NACE economic sectors","Euro","22.89"
"Average Hourly Earnings","2022Q4","Under 50","Construction (F)","Euro","22.63"
"Average Hourly Earnings","2022Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","21.33"
"Average Hourly Earnings","2022Q4","Under 50","Transportation and storage (H)","Euro","23.4"
"Average Hourly Earnings","2022Q4","Under 50","Accommodation and food service activities (I)","Euro","15.43"
"Average Hourly Earnings","2022Q4","Under 50","Information and communication (J)","Euro","34.98"
"Average Hourly Earnings","2022Q4","Under 50","Professional, scientific and technical activities (M)","Euro","28.72"
"Average Hourly Earnings","2022Q4","Under 50","Administrative and support service activities (N)","Euro","25.24"
"Average Hourly Earnings","2022Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","27.51"
"Average Hourly Earnings","2022Q4","Under 50","Education (P)","Euro","22.51"
"Average Hourly Earnings","2022Q4","Under 50","Human health and social work activities (Q)","Euro","21.85"
"Average Hourly Earnings","2022Q4","Under 50","Industry (B to E)","Euro","22.08"
"Average Hourly Earnings","2022Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","36.35"
"Average Hourly Earnings","2022Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.26"
"Average Hourly Earnings","2022Q4","50 - 250","All NACE economic sectors","Euro","25.29"
"Average Hourly Earnings","2022Q4","50 - 250","Construction (F)","Euro","28.23"
"Average Hourly Earnings","2022Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23.06"
"Average Hourly Earnings","2022Q4","50 - 250","Transportation and storage (H)","Euro","21.7"
"Average Hourly Earnings","2022Q4","50 - 250","Accommodation and food service activities (I)","Euro","15.48"
"Average Hourly Earnings","2022Q4","50 - 250","Information and communication (J)","Euro","37.27"
"Average Hourly Earnings","2022Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","32.85"
"Average Hourly Earnings","2022Q4","50 - 250","Administrative and support service activities (N)","Euro","23.49"
"Average Hourly Earnings","2022Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","38.68"
"Average Hourly Earnings","2022Q4","50 - 250","Education (P)","Euro","30.67"
"Average Hourly Earnings","2022Q4","50 - 250","Human health and social work activities (Q)","Euro","19.24"
"Average Hourly Earnings","2022Q4","50 - 250","Industry (B to E)","Euro","23.04"
"Average Hourly Earnings","2022Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","36.61"
"Average Hourly Earnings","2022Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","25.61"
"Average Hourly Earnings","2022Q4","Greater than 250","All NACE economic sectors","Euro","31.61"
"Average Hourly Earnings","2022Q4","Greater than 250","Construction (F)","Euro","30.69"
"Average Hourly Earnings","2022Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","20.84"
"Average Hourly Earnings","2022Q4","Greater than 250","Transportation and storage (H)","Euro","25.11"
"Average Hourly Earnings","2022Q4","Greater than 250","Accommodation and food service activities (I)","Euro","15.28"
"Average Hourly Earnings","2022Q4","Greater than 250","Information and communication (J)","Euro","43.98"
"Average Hourly Earnings","2022Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","33.89"
"Average Hourly Earnings","2022Q4","Greater than 250","Administrative and support service activities (N)","Euro","19.89"
"Average Hourly Earnings","2022Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","31.49"
"Average Hourly Earnings","2022Q4","Greater than 250","Education (P)","Euro","48.54"
"Average Hourly Earnings","2022Q4","Greater than 250","Human health and social work activities (Q)","Euro","30.82"
"Average Hourly Earnings","2022Q4","Greater than 250","Industry (B to E)","Euro","30.25"
"Average Hourly Earnings","2022Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","36.19"
"Average Hourly Earnings","2022Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","22.97"
"Average Hourly Earnings","2023Q1","Under 50","All NACE economic sectors","Euro","23.59"
"Average Hourly Earnings","2023Q1","Under 50","Construction (F)","Euro","22.75"
"Average Hourly Earnings","2023Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","21.8"
"Average Hourly Earnings","2023Q1","Under 50","Transportation and storage (H)","Euro","22.46"
"Average Hourly Earnings","2023Q1","Under 50","Accommodation and food service activities (I)","Euro","15.66"
"Average Hourly Earnings","2023Q1","Under 50","Information and communication (J)","Euro","39.19"
"Average Hourly Earnings","2023Q1","Under 50","Professional, scientific and technical activities (M)","Euro","29.72"
"Average Hourly Earnings","2023Q1","Under 50","Administrative and support service activities (N)","Euro","26.95"
"Average Hourly Earnings","2023Q1","Under 50","Public administration and defence; compulsory social security (O)","Euro","28.58"
"Average Hourly Earnings","2023Q1","Under 50","Education (P)","Euro","20.19"
"Average Hourly Earnings","2023Q1","Under 50","Human health and social work activities (Q)","Euro","23.77"
"Average Hourly Earnings","2023Q1","Under 50","Industry (B to E)","Euro","22.9"
"Average Hourly Earnings","2023Q1","Under 50","Financial, insurance and real estate activities (K,L)","Euro","40.89"
"Average Hourly Earnings","2023Q1","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.22"
"Average Hourly Earnings","2023Q1","50 - 250","All NACE economic sectors","Euro","26.19"
"Average Hourly Earnings","2023Q1","50 - 250","Construction (F)","Euro","26.52"
"Average Hourly Earnings","2023Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","24.01"
"Average Hourly Earnings","2023Q1","50 - 250","Transportation and storage (H)","Euro","21.51"
"Average Hourly Earnings","2023Q1","50 - 250","Accommodation and food service activities (I)","Euro","15.86"
"Average Hourly Earnings","2023Q1","50 - 250","Information and communication (J)","Euro","40.03"
"Average Hourly Earnings","2023Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","34.09"
"Average Hourly Earnings","2023Q1","50 - 250","Administrative and support service activities (N)","Euro","24.53"
"Average Hourly Earnings","2023Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","35.81"
"Average Hourly Earnings","2023Q1","50 - 250","Education (P)","Euro","29.94"
"Average Hourly Earnings","2023Q1","50 - 250","Human health and social work activities (Q)","Euro","19.25"
"Average Hourly Earnings","2023Q1","50 - 250","Industry (B to E)","Euro","24.15"
"Average Hourly Earnings","2023Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","42.53"
"Average Hourly Earnings","2023Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","25.93"
"Average Hourly Earnings","2023Q1","Greater than 250","All NACE economic sectors","Euro","32.03"
"Average Hourly Earnings","2023Q1","Greater than 250","Construction (F)","Euro","28.29"
"Average Hourly Earnings","2023Q1","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","21.84"
"Average Hourly Earnings","2023Q1","Greater than 250","Transportation and storage (H)","Euro","24.85"
"Average Hourly Earnings","2023Q1","Greater than 250","Accommodation and food service activities (I)","Euro","16.01"
"Average Hourly Earnings","2023Q1","Greater than 250","Information and communication (J)","Euro","47.87"
"Average Hourly Earnings","2023Q1","Greater than 250","Professional, scientific and technical activities (M)","Euro","32.61"
"Average Hourly Earnings","2023Q1","Greater than 250","Administrative and support service activities (N)","Euro","21.28"
"Average Hourly Earnings","2023Q1","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","29.78"
"Average Hourly Earnings","2023Q1","Greater than 250","Education (P)","Euro","45.42"
"Average Hourly Earnings","2023Q1","Greater than 250","Human health and social work activities (Q)","Euro","28.9"
"Average Hourly Earnings","2023Q1","Greater than 250","Industry (B to E)","Euro","33.36"
"Average Hourly Earnings","2023Q1","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","43.54"
"Average Hourly Earnings","2023Q1","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","25.75"
"Average Hourly Earnings","2023Q2","Under 50","All NACE economic sectors","Euro","23.77"
"Average Hourly Earnings","2023Q2","Under 50","Construction (F)","Euro","22.53"
"Average Hourly Earnings","2023Q2","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","22.02"
"Average Hourly Earnings","2023Q2","Under 50","Transportation and storage (H)","Euro","21.87"
"Average Hourly Earnings","2023Q2","Under 50","Accommodation and food service activities (I)","Euro","16.21"
"Average Hourly Earnings","2023Q2","Under 50","Information and communication (J)","Euro","37.58"
"Average Hourly Earnings","2023Q2","Under 50","Professional, scientific and technical activities (M)","Euro","30.03"
"Average Hourly Earnings","2023Q2","Under 50","Administrative and support service activities (N)","Euro","25.97"
"Average Hourly Earnings","2023Q2","Under 50","Public administration and defence; compulsory social security (O)","Euro","26.93"
"Average Hourly Earnings","2023Q2","Under 50","Education (P)","Euro","22.06"
"Average Hourly Earnings","2023Q2","Under 50","Human health and social work activities (Q)","Euro","22.6"
"Average Hourly Earnings","2023Q2","Under 50","Industry (B to E)","Euro","23.21"
"Average Hourly Earnings","2023Q2","Under 50","Financial, insurance and real estate activities (K,L)","Euro","42.18"
"Average Hourly Earnings","2023Q2","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.26"
"Average Hourly Earnings","2023Q2","50 - 250","All NACE economic sectors","Euro","25.7"
"Average Hourly Earnings","2023Q2","50 - 250","Construction (F)","Euro","27.06"
"Average Hourly Earnings","2023Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23.76"
"Average Hourly Earnings","2023Q2","50 - 250","Transportation and storage (H)","Euro","22.01"
"Average Hourly Earnings","2023Q2","50 - 250","Accommodation and food service activities (I)","Euro","15.76"
"Average Hourly Earnings","2023Q2","50 - 250","Information and communication (J)","Euro","38.26"
"Average Hourly Earnings","2023Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","34.75"
"Average Hourly Earnings","2023Q2","50 - 250","Administrative and support service activities (N)","Euro","23.46"
"Average Hourly Earnings","2023Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","36.77"
"Average Hourly Earnings","2023Q2","50 - 250","Education (P)","Euro","31.03"
"Average Hourly Earnings","2023Q2","50 - 250","Human health and social work activities (Q)","Euro","19.26"
"Average Hourly Earnings","2023Q2","50 - 250","Industry (B to E)","Euro","24.08"
"Average Hourly Earnings","2023Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","37.64"
"Average Hourly Earnings","2023Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","25.37"
"Average Hourly Earnings","2023Q2","Greater than 250","All NACE economic sectors","Euro","31.54"
"Average Hourly Earnings","2023Q2","Greater than 250","Construction (F)","Euro","29.16"
"Average Hourly Earnings","2023Q2","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","21.55"
"Average Hourly Earnings","2023Q2","Greater than 250","Transportation and storage (H)","Euro","26.62"
"Average Hourly Earnings","2023Q2","Greater than 250","Accommodation and food service activities (I)","Euro","15.48"
"Average Hourly Earnings","2023Q2","Greater than 250","Information and communication (J)","Euro","44.52"
"Average Hourly Earnings","2023Q2","Greater than 250","Professional, scientific and technical activities (M)","Euro","33.74"
"Average Hourly Earnings","2023Q2","Greater than 250","Administrative and support service activities (N)","Euro","20.93"
